Sección Aduanera,Patente,Número Pedimento
480,3711,1008077
480,3711,1008077
480,3711,1008077
480,3711,1008077
480,3711,1008077
480,3711,1008077
480,3711,1008077
480,3711,1008077
480,3711,1008077
480,3711,1008077
480,3711,1018170
480,3711,1018170
480,3711,1018170
480,3711,1018170
480,3711,1011371
480,3711,1011371
480,3711,1011371
480,3711,1011371
480,3711,1011371
480,3711,1011371
480,3711,1011371
480,3711,1011371
480,3711,1011364
480,3711,1011364
480,3711,1011364
480,3711,1011364
480,3711,1011364
480,3711,1011364
480,3711,1011364
480,3711,1011364
480,3711,1011514
480,3711,1011514
480,3711,1011514
480,3711,1011514
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1008078
480,3711,1017252
480,3711,1017252
480,3711,1017252
480,3711,1017252
480,3711,1017252
480,3711,1017252
480,3711,1017252
480,3711,1017252
480,3711,1010025
480,3711,1010025
480,3711,1010025
480,3711,1010025
480,3711,1010025
480,3711,1010025
480,3711,1010025
480,3711,1010025
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1017246
480,3711,1020249
480,3711,1020249
480,3711,1020249
480,3711,1020249
480,3711,1020249
480,3711,1020249
480,3711,1020249
480,3711,1020249
480,3711,1019656
480,3711,1019656
480,3711,1019656
480,3711,1019656
480,3711,1019656
480,3711,1019656
480,3711,1019656
480,3711,1019656
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010540
480,3711,1010480
480,3711,1010480
480,3711,1010480
480,3711,1010480
480,3711,1010480
480,3711,1010480
480,3711,1010480
480,3711,1010480
480,3711,1016933
480,3711,1016933
480,3711,1016933
480,3711,1016933
480,3711,1016933
480,3711,1016933
480,3711,1016933
480,3711,1016933
480,3711,1016933
480,3711,1016933
480,3711,1016933
480,3711,1016933
480,3711,1016933
480,3711,1016933
480,3711,1016933
480,3711,1016933
480,3711,1012376
480,3711,1012376
480,3711,1012376
480,3711,1012376
480,3711,1012376
480,3711,1012376
480,3711,1012376
480,3711,1012376
750,3694,1058430
750,3694,1058430
750,3694,1058430
750,3694,1058430
750,3694,1058430
750,3694,1058430
750,3694,1058430
750,3694,1058430
750,3694,1058430
750,3694,1058430
750,3694,1058430
750,3694,1058430
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,1022260
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
750,3694,0061485
