RFC,Patente,Sección Aduanera,Número Pedimento,Tipo Operación,Clave Documento,Fecha Pago Real,Secuencia Fracción,Fracción,Subdivisión Fracción (NICO),Descripción Mercancía,Padrón,Tipo,Sector,Fecha DOF,Número Pedimento Anterior,Documento Anterior,Fecha Operación Anterior
SVD000317AH4,3711,480,1008077,2,A1,2021-08-18,21,27101999,	99,GRASA LUBRICANTE,13,A,Sector 13.- Hidrocarburos y combustibles.,24/12/2020,,,
SVD000317AH4,3711,480,1008077,2,A1,2021-08-18,21,27101999,	99,GRASA LUBRICANTE,13,A,Sector 13.- Hidrocarburos y combustibles.,24/12/2020,,,
SVD000317AH4,3711,480,1008077,2,A1,2021-08-18,21,27101999,	99,GRASA LUBRICANTE,13,A,Sector 13.- Hidrocarburos y combustibles.,24/12/2020,,,
SVD000317AH4,3711,480,1008077,2,A1,2021-08-18,21,27101999,	99,GRASA LUBRICANTE,13,A,Sector 13.- Hidrocarburos y combustibles.,24/12/2020,,,
SVD000317AH4,3711,480,1008077,2,A1,2021-08-18,21,27101999,	99,GRASA LUBRICANTE,13,A,Sector 13.- Hidrocarburos y combustibles.,24/12/2020,,,
SVD000317AH4,3711,480,1008077,2,A1,2021-08-18,21,27101999,	99,GRASA LUBRICANTE,13,A,Sector 13.- Hidrocarburos y combustibles.,24/12/2020,,,
SVD000317AH4,3711,480,1008077,2,A1,2021-08-18,21,27101999,	99,GRASA LUBRICANTE,13,A,Sector 13.- Hidrocarburos y combustibles.,24/12/2020,,,
SVD000317AH4,3711,480,1008077,2,A1,2021-08-18,21,27101999,	99,GRASA LUBRICANTE,13,A,Sector 13.- Hidrocarburos y combustibles.,24/12/2020,,,
SVD000317AH4,3711,480,1008077,2,A1,2021-08-18,21,27101999,	99,GRASA LUBRICANTE,13,A,Sector 13.- Hidrocarburos y combustibles.,24/12/2020,,,
SVD000317AH4,3711,480,1008077,2,A1,2021-08-18,21,27101999,	99,GRASA LUBRICANTE,13,A,Sector 13.- Hidrocarburos y combustibles.,24/12/2020,,,
SVD000317AH4,3711,480,1018170,1,A1,2021-10-06,1,28421002,	99,TAMIZ MOLECULAR (MINERALES ALUMINOSILICATOS),5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1018170,1,A1,2021-10-06,1,28421002,	99,TAMIZ MOLECULAR (MINERALES ALUMINOSILICATOS),5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1018170,1,A1,2021-10-06,1,28421002,	99,TAMIZ MOLECULAR (MINERALES ALUMINOSILICATOS),5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1018170,1,A1,2021-10-06,1,28421002,	99,TAMIZ MOLECULAR (MINERALES ALUMINOSILICATOS),5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1011371,1,IN,2021-03-17,257,38248401,	00,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1011371,1,IN,2021-03-17,257,38248401,	00,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1011371,1,IN,2021-03-17,257,38248401,	00,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1011371,1,IN,2021-03-17,257,38248401,	00,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1011371,1,IN,2021-03-17,257,38248401,	00,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1011371,1,IN,2021-03-17,257,38248401,	00,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1011371,1,IN,2021-03-17,257,38248401,	00,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1011371,1,IN,2021-03-17,257,38248401,	00,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1011364,1,IN,2021-03-17,242,38248401,	00,DESECANTES,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1011364,1,IN,2021-03-17,242,38248401,	00,DESECANTES,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1011364,1,IN,2021-03-17,242,38248401,	00,DESECANTES,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1011364,1,IN,2021-03-17,242,38248401,	00,DESECANTES,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1011364,1,IN,2021-03-17,242,38248401,	00,DESECANTES,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1011364,1,IN,2021-03-17,242,38248401,	00,DESECANTES,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1011364,1,IN,2021-03-17,242,38248401,	00,DESECANTES,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1011364,1,IN,2021-03-17,242,38248401,	00,DESECANTES,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1011514,1,IN,2021-02-24,435,38249099,	,PASTA DISIPADORA DE CALOR,6,A,"6.-Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",,3711-0016785-480,IN,2021-01-23
SVD000317AH4,3711,480,1011514,1,IN,2021-02-24,435,38249099,	,PASTA DISIPADORA DE CALOR,5,A,5.-Explosivos y material relacionado con explosivos.,,3711-0016785-480,IN,2021-01-23
SVD000317AH4,3711,480,1011514,1,IN,2021-02-24,435,38249099,	,PASTA DISIPADORA DE CALOR,6,A,"6.-Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",,3711-0016785-480,IN,2021-01-23
SVD000317AH4,3711,480,1011514,1,IN,2021-02-24,435,38249099,	,PASTA DISIPADORA DE CALOR,5,A,5.-Explosivos y material relacionado con explosivos.,,3711-0016785-480,IN,2021-01-23
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,419,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,419,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,418,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,418,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,417,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,417,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,419,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,419,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,418,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,418,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,417,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,417,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,419,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,419,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,418,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,418,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,417,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,417,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,419,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,419,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,418,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,418,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,417,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1008078,1,IN,2021-09-01,417,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1017252,1,IN,2021-09-26,51,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1017252,1,IN,2021-09-26,51,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1017252,1,IN,2021-09-26,51,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1017252,1,IN,2021-09-26,51,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1017252,1,IN,2021-09-26,51,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1017252,1,IN,2021-09-26,51,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1017252,1,IN,2021-09-26,51,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1017252,1,IN,2021-09-26,51,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1010025,1,IN,2021-02-17,586,38249999,	99,PREPARACION EN PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1010025,1,IN,2021-02-17,586,38249999,	99,PREPARACION EN PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1010025,1,IN,2021-02-17,586,38249999,	99,PREPARACION EN PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1010025,1,IN,2021-02-17,586,38249999,	99,PREPARACION EN PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1010025,1,IN,2021-02-17,586,38249999,	99,PREPARACION EN PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1010025,1,IN,2021-02-17,586,38249999,	99,PREPARACION EN PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1010025,1,IN,2021-02-17,586,38249999,	99,PREPARACION EN PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1010025,1,IN,2021-02-17,586,38249999,	99,PREPARACION EN PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,246,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,246,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,74,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,74,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,245,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,245,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,73,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,73,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,75,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,75,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,291,38249999,	99,PASTA TERMICA,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,291,38249999,	99,PASTA TERMICA,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,246,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,246,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,74,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,74,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,245,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,245,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,73,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,73,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,75,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,75,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,291,38249999,	99,PASTA TERMICA,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,291,38249999,	99,PASTA TERMICA,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,246,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,246,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,74,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,74,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,245,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,245,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,73,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,73,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,75,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,75,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,291,38249999,	99,PASTA TERMICA,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,291,38249999,	99,PASTA TERMICA,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,24/12/2020,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,246,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,246,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,74,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,74,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,245,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,245,38249999,	99,PASTA DISIPADORA DE CALOR,5,A,Sector 5.- Explosivos y material relacionado con explosivos.,28/11/2022,,,
SVD000317AH4,3711,480,1017246,1,IN,2021-09-25,73,38249999,	99,PASTA DISIPADORA DE CALOR,6,A,"Sector 6.- Sustancias químicas, materiales para usos pirotécnicos y artificios relacionados con el empleo de explosivos.",28/11/2022,,,
